[1, [9.97098023 7.53935125 0.93956163], 73252.07, [6.59122511 5.09153345 2.02083357]]
[1, [9.97094265 7.40716494 1.2870126 ], 73252.07, [6.59122511 5.09153345 2.02083357]]
X[1, [9.96902504 7.54705141 0.93964412], 73252.11, [6.58015626 5.15067029 2.03017434]]
[1, [9.9677435  7.4152695  1.28784541], 73252.11, [6.58015626 5.15067029 2.03017434]]
X[1, [9.96704069 7.55997784 0.94737814], 73252.15, [6.56946982 5.20766869 2.03964615]]
[1, [9.96597636 7.42558406 1.29597291], 73252.15, [6.56946982 5.20766869 2.03964615]]
X[1, [9.97121114 7.53977282 0.93658705], 73252.17, [6.56427161 5.23536312 2.04438626]]
[1, [9.97109346 7.40868017 1.28569752], 73252.17, [6.56427161 5.23536312 2.04438626]]
X[1, [9.97606037 7.52326411 0.93354607], 73252.19, [6.55917076 5.26252048 2.04909269]]
[1, [9.97340949 7.38893887 1.28415819], 73252.19, [6.55917076 5.26252048 2.04909269]]
X[1, [9.97287881 7.53263831 0.93937832], 73252.23, [6.54926231 5.31522467 2.05832579]]
[1, [9.9728907  7.39774184 1.28115714], 73252.23, [6.54926231 5.31522467 2.05832579]]
X[1, [9.9775122  7.517632   0.93115297], 73252.25, [6.54445509 5.34077278 2.062833  ]]
[1, [9.97639762 7.3805715  1.27821354], 73252.25, [6.54445509 5.34077278 2.062833  ]]
X[1, [9.98012524 7.50071171 0.92364596], 73252.27, [6.53974604 5.36578601 2.06727052]]
[1, [9.97841471 7.3660603  1.27566433], 73252.27, [6.53974604 5.36578601 2.06727052]]
X[1, [9.97425896 4.25027469 3.77698021], 73254.45, [6.41029153 6.04927592 3.74609413]]
[2, [9.97892812 4.60129574 3.8944355 ], 73254.45, [6.41029153 6.04927592 3.74609413]]
[1, [9.97421291 4.36383933 4.04705478], 73254.45, [6.41029153 6.04927592 3.74609413]]
X[1, [9.97413577 4.25334863 3.78764493], 73254.49, [6.40963768 6.05263255 3.80129865]]
[2, [9.97878078 4.60438519 3.90520063], 73254.49, [6.40963768 6.05263255 3.80129865]]
[1, [9.97405874 4.36684325 4.05780422], 73254.49, [6.40963768 6.05263255 3.80129865]]
X[1, [9.9743258  4.25471207 3.77076774], 73254.51, [6.40931931 6.0542648  3.82836617]]
[2, [9.97848572 4.60161644 3.8883244 ], 73254.51, [6.40931931 6.0542648  3.82836617]]
[1, [9.9743776  4.36812551 4.04099048], 73254.51, [6.40931931 6.0542648  3.82836617]]
X[1, [9.97497972 4.25721627 3.7840178 ], 73254.55, [6.40869977 6.05743743 3.88126957]]
[2, [9.97888511 4.59996395 3.89724659], 73254.55, [6.40869977 6.05743743 3.88126957]]
[1, [9.97421467 4.36228797 4.04995182], 73254.55, [6.40869977 6.05743743 3.88126957]]
X[1, [9.9738261  4.25314807 3.82077247], 73254.61, [6.40781212 6.06197121 3.95744419]]
[2, [9.97817167 4.60441744 3.93397352], 73254.61, [6.40781212 6.06197121 3.95744419]]
[1, [9.97380754 4.36655538 4.08234254], 73254.61, [6.40781212 6.06197121 3.95744419]]
X[1, [9.97397328 4.25436403 3.80165948], 73254.63, [6.40752688 6.0634241  3.98202907]]
[2, [9.97838118 4.60564855 3.91482247], 73254.63, [6.40752688 6.0634241  3.98202907]]
[1, [9.97402883 4.3677472  4.07202879], 73254.63, [6.40752688 6.0634241  3.98202907]]
X[1, [9.97418169 4.25551888 3.79090811], 73254.65, [6.40724683 6.06484867 4.00622467]]
[2, [9.97803053 4.6027166  3.90406176], 73254.65, [6.40724683 6.06484867 4.00622467]]
[1, [9.97426594 4.36890218 4.05255267], 73254.65, [6.40724683 6.06484867 4.00622467]]
X[1, [ 9.96869783 12.25633056  3.82059245], 73258.67, [ 6.39755769 12.44287122  4.54835871]]
[1, [ 9.97390683 13.526483    3.88642669], 73258.67, [ 6.39755769 12.44287122  4.54835871]]
[2, [ 9.97448834 11.90413204  3.93234548], 73258.67, [ 6.39755769 12.44287122  4.54835871]]
[1, [ 9.9687122  12.14883977  4.08516311], 73258.67, [ 6.39755769 12.44287122  4.54835871]]
[1, [ 9.97310403 13.33021239  4.11420095], 73258.67, [ 6.39755769 12.44287122  4.54835871]]
[1, [ 9.97491543 14.82327227  4.11028556], 73258.67, [ 6.39755769 12.44287122  4.54835871]]
X[1, [ 9.96870301 12.23818167  3.81867837], 73258.69, [ 6.39755784 12.47524153  4.55458856]]
[1, [ 9.97392425 13.50787768  3.87927383], 73258.69, [ 6.39755784 12.47524153  4.55458856]]
[2, [ 9.9744821  11.88557803  3.92942743], 73258.69, [ 6.39755784 12.47524153  4.55458856]]
[1, [ 9.97400794 15.08578414  4.00493375], 73258.69, [ 6.39755784 12.47524153  4.55458856]]
[1, [ 9.97001667 12.12541545  4.08282965], 73258.69, [ 6.39755784 12.47524153  4.55458856]]
[1, [ 9.97394495 13.311276    4.11077221], 73258.69, [ 6.39755784 12.47524153  4.55458856]]
[1, [ 9.97395911 14.79894153  4.10700262], 73258.69, [ 6.39755784 12.47524153  4.55458856]]
X[1, [ 9.97004416 12.21475288  3.81626092], 73258.71, [ 6.39755803 12.50704548  4.56079962]]
[1, [ 9.97423946 13.48433739  3.87585416], 73258.71, [ 6.39755803 12.50704548  4.56079962]]
[2, [ 9.97448019 11.86629668  3.92636146], 73258.71, [ 6.39755803 12.50704548  4.56079962]]
[1, [ 9.97502414 15.06253237  4.00092113], 73258.71, [ 6.39755803 12.50704548  4.56079962]]
[1, [ 9.97002434 12.10582046  4.08036861], 73258.71, [ 6.39755803 12.50704548  4.56079962]]
[1, [ 9.97392339 13.29138087  4.10246261], 73258.71, [ 6.39755803 12.50704548  4.56079962]]
[1, [ 9.97322014 14.77846999  4.09810334], 73258.71, [ 6.39755803 12.50704548  4.56079962]]
X[1, [ 9.96770292 12.19085887  3.81010638], 73258.73, [ 6.39755829 12.5382842   4.56697358]]
[1, [ 9.97397748 13.45991816  3.87195003], 73258.73, [ 6.39755829 12.5382842   4.56697358]]
[2, [ 9.97445887 11.84631272  3.92319645], 73258.73, [ 6.39755829 12.5382842   4.56697358]]
[1, [ 9.97393583 15.03687271  3.98741714], 73258.73, [ 6.39755829 12.5382842   4.56697358]]
[1, [ 9.96873351 12.08135076  4.07801093], 73258.73, [ 6.39755829 12.5382842   4.56697358]]
[1, [ 9.97424609 13.26661606  4.09803012], 73258.73, [ 6.39755829 12.5382842   4.56697358]]
[1, [ 9.973949   14.75839528  4.08799787], 73258.73, [ 6.39755829 12.5382842   4.56697358]]
X[1, [ 9.96872988 12.20245837  3.81675327], 73258.77, [ 6.39755905 12.59907611  4.57914339]]
[1, [ 9.97495788 13.47575616  3.87100537], 73258.77, [ 6.39755905 12.59907611  4.57914339]]
[2, [ 9.9744882  11.85737833  3.92414992], 73258.77, [ 6.39755905 12.59907611  4.57914339]]
[1, [ 9.97397622 15.05635413  3.99362934], 73258.77, [ 6.39755905 12.59907611  4.57914339]]
[1, [ 9.96870533 12.1006112   4.07992897], 73258.77, [ 6.39755905 12.59907611  4.57914339]]
[1, [ 9.97390579 13.28117023  4.10089418], 73258.77, [ 6.39755905 12.59907611  4.57914339]]
[1, [ 9.97490812 14.77363306  4.09287748], 73258.77, [ 6.39755905 12.59907611  4.57914339]]
X[1, [ 9.9700247  12.21702442  3.81764494], 73258.81, [ 6.39756009 12.65763511  4.59101831]]
[1, [ 9.97316288 13.48959845  3.87532013], 73258.81, [ 6.39756009 12.65763511  4.59101831]]
[2, [ 9.97448514 11.86709206  3.9322382 ], 73258.81, [ 6.39756009 12.65763511  4.59101831]]
[1, [ 9.97392775 15.06544222  3.99319909], 73258.81, [ 6.39756009 12.65763511  4.59101831]]
[1, [ 9.96873439 12.10948234  4.0805874 ], 73258.81, [ 6.39756009 12.65763511  4.59101831]]
[1, [ 9.97313019 13.28965414  4.10386227], 73258.81, [ 6.39756009 12.65763511  4.59101831]]
[1, [ 9.9731379  14.78548178  4.09551287], 73258.81, [ 6.39756009 12.65763511  4.59101831]]
X[1, [ 9.96870438 12.20011799  3.81369207], 73258.83, [ 6.3975607  12.68607862  4.59683949]]
[1, [ 9.97389273 13.46801536  3.87067727], 73258.83, [ 6.3975607  12.68607862  4.59683949]]
[1, [ 9.97317172 15.04271422  3.98528134], 73258.83, [ 6.3975607  12.68607862  4.59683949]]
[2, [ 9.97448198 11.85394538  3.92678158], 73258.83, [ 6.3975607  12.68607862  4.59683949]]
[1, [ 9.96772224 12.0961171   4.08050616], 73258.83, [ 6.3975607  12.68607862  4.59683949]]
[1, [ 9.97488179 14.76845312  4.08622517], 73258.83, [ 6.3975607  12.68607862  4.59683949]]
[1, [ 9.97390215 13.27607415  4.0985815 ], 73258.83, [ 6.3975607  12.68607862  4.59683949]]
X[1, [10.02505611  7.41333254  1.08236796], 73270.59, [13.62448174  5.07368782  2.07892052]]
[1, [10.02438933  7.61098815  1.3066818 ], 73270.59, [13.62448174  5.07368782  2.07892052]]
X[1, [10.02551458  7.42709363  1.08337067], 73270.63, [13.62774276  5.12744457  2.0869996 ]]
[1, [10.02560427  7.62292802  1.31348896], 73270.63, [13.62774276  5.12744457  2.0869996 ]]
X[1, [10.02581345  7.4307055   1.0852569 ], 73270.67, [13.63087477  5.17906854  2.09510669]]
[1, [10.02496005  7.62583469  1.31199345], 73270.67, [13.63087477  5.17906854  2.09510669]]
X[1, [10.02437555  7.41528424  1.08137963], 73270.69, [13.63239233  5.20407882  2.09915163]]
[1, [10.02435473  7.61813199  1.3047241 ], 73270.69, [13.63239233  5.20407882  2.09915163]]
X[1, [10.02361823  7.39900018  1.07298049], 73270.71, [13.63387758  5.2285525   2.10317104]]
[1, [10.02452704  7.60043651  1.30178582], 73270.71, [13.63387758  5.2285525   2.10317104]]
X[1, [10.0238299   7.40836616  1.07427632], 73270.75, [13.63675116  5.27588392  2.11107423]]
[1, [10.02458375  7.60841817  1.30450458], 73270.75, [13.63675116  5.27588392  2.11107423]]
X[1, [10.02503116  7.41525946  1.07975755], 73270.79, [13.63949496  5.32105019  2.1187217 ]]
[1, [10.02512264  7.61428911  1.30676716], 73270.79, [13.63949496  5.32105019  2.1187217 ]]
X[1, [10.02377564  7.40589581  1.0747042 ], 73270.81, [13.64081792  5.34281677  2.12244248]]
[1, [10.02384903  7.60427044  1.30251739], 73270.81, [13.64081792  5.34281677  2.12244248]]
X[1, [10.03133515  4.23802934  3.80494551], 73272.97, [13.67705093  5.92207303  3.72791795]]
[2, [10.02597191  4.58430056  3.92113852], 73272.97, [13.67705093  5.92207303  3.72791795]]
[1, [10.0327275   4.35045273  4.07271437], 73272.97, [13.67705093  5.92207303  3.72791795]]
X[1, [10.03138333  4.2402171   3.81605916], 73273.01, [13.6771323   5.92435018  3.78408701]]
[2, [10.02595611  4.58645304  3.93223511], 73273.01, [13.6771323   5.92435018  3.78408701]]
[1, [10.03129627  4.3474314   4.08397885], 73273.01, [13.6771323   5.92435018  3.78408701]]
X[1, [10.031333    4.24228413  3.82601185], 73273.05, [13.6772078   5.9265417   3.83893954]]
[2, [10.02596054  4.58854035  3.94217096], 73273.05, [13.6772078   5.9265417   3.83893954]]
[1, [10.03037611  4.34906185  4.08951829], 73273.05, [13.6772078   5.9265417   3.83893954]]
X[1, [10.03112926  4.24114124  3.75420536], 73273.03, [13.67717079  5.92545659  3.81169505]]
[2, [10.02581115  4.58744035  3.87027445], 73273.03, [13.67717079  5.92545659  3.81169505]]
[1, [10.03026211  4.34798474  4.01770049], 73273.03, [13.67717079  5.92545659  3.81169505]]
X[1, [10.03258348  4.23943921  3.76349833], 73273.07, [13.6772434   5.92760565  3.86579203]]
[2, [10.02518101  4.58476073  3.87948255], 73273.07, [13.6772434   5.92760565  3.86579203]]
[1, [10.03125826  4.35048449  4.03139911], 73273.07, [13.6772434   5.92760565  3.86579203]]
X[1, [10.03130253  4.23727355  3.80545624], 73273.13, [13.67734195  5.93067259  3.94387072]]
[2, [10.02522179  4.58774312  3.912486  ], 73273.13, [13.67734195  5.93067259  3.94387072]]
[1, [10.03121757  4.3534081   4.06445473], 73273.13, [13.67734195  5.93067259  3.94387072]]
X[1, [10.0313502   4.2391839   3.81058412], 73273.17, [13.67740044  5.93261567  3.99388841]]
[2, [10.02555122  4.58526753  3.92206316], 73273.17, [13.67740044  5.93261567  3.99388841]]
[1, [10.03024979  4.34584495  4.07409466], 73273.17, [13.67740044  5.93261567  3.99388841]]
X[1, [10.03034351  4.24047491  3.81881496], 73273.21, [13.6774529   5.93448022  4.04230843]]
[2, [10.02596173  4.58724035  3.93030503], 73273.21, [13.6774529   5.93448022  4.04230843]]
[1, [10.0312904   4.34814973  4.08239444], 73273.21, [13.6774529   5.93448022  4.04230843]]
X[1, [10.0312605   4.24179861  3.80235185], 73273.23, [13.67747691  5.93538432  4.06590259]]
[2, [10.0259215   4.58809991  3.91817911], 73273.23, [13.67747691  5.93538432  4.06590259]]
[1, [10.0313478   4.34906245  4.07034886], 73273.23, [13.67747691  5.93538432  4.06590259]]
X[1, [15.97072137  4.78906177  6.62148363], 73276.97, [12.44912098  6.1067823   7.52169777]]
[1, [15.9732421   5.76303432  6.61838723], 73276.97, [12.44912098  6.1067823   7.52169777]]
[2, [15.97746648  4.43778843  6.73117676], 73276.97, [12.44912098  6.1067823   7.52169777]]
[2, [15.97685766  6.11376505  6.72961784], 73276.97, [12.44912098  6.1067823   7.52169777]]
[1, [15.97060654  4.68399329  6.88076046], 73276.97, [12.44912098  6.1067823   7.52169777]]
[1, [15.97328877  5.87801746  6.8841599 ], 73276.97, [12.44912098  6.1067823   7.52169777]]
X[1, [15.96872565  4.78577284  6.62282184], 73277.01, [12.44613843  6.10873145  7.53727647]]
[1, [15.97364565  5.75794636  6.62190507], 73277.01, [12.44613843  6.10873145  7.53727647]]
[2, [15.97430581  4.43297624  6.73268387], 73277.01, [12.44613843  6.10873145  7.53727647]]
[2, [15.97678343  6.10642907  6.73448675], 73277.01, [12.44613843  6.10873145  7.53727647]]
[1, [15.96850123  4.67885682  6.88372113], 73277.01, [12.44613843  6.10873145  7.53727647]]
[1, [15.97283883  5.86953568  6.88904821], 73277.01, [12.44613843  6.10873145  7.53727647]]
X[1, [15.96637228  4.78079702  6.62633922], 73277.05, [12.44360658  6.11062204  7.55115819]]
[1, [15.97220147  5.74916707  6.62778207], 73277.05, [12.44360658  6.11062204  7.55115819]]
[2, [15.97071904  4.42383571  6.74042853], 73277.05, [12.44360658  6.11062204  7.55115819]]
[2, [15.97646168  6.09889855  6.74086814], 73277.05, [12.44360658  6.11062204  7.55115819]]
[1, [15.96593102  4.66860115  6.89263364], 73277.05, [12.44360658  6.11062204  7.55115819]]
[1, [15.97172477  5.86530333  6.89104521], 73277.05, [12.44360658  6.11062204  7.55115819]]
X[1, [15.97072259  4.78887307  6.61851445], 73277.07, [12.44249049  6.11154579  7.55746675]]
[1, [15.97247393  5.76439174  6.61749017], 73277.07, [12.44249049  6.11154579  7.55746675]]
[2, [15.9758016   4.43924647  6.73231771], 73277.07, [12.44249049  6.11154579  7.55746675]]
[2, [15.97685651  6.11115262  6.73529557], 73277.07, [12.44249049  6.11154579  7.55746675]]
[1, [15.97078801  4.67894392  6.88169553], 73277.07, [12.44249049  6.11154579  7.55746675]]
[1, [15.9726042   5.87255252  6.88562702], 73277.07, [12.44249049  6.11154579  7.55746675]]
X[1, [15.96369778  4.76808094  6.63392867], 73277.13, [12.4396387   6.11423369  7.57388664]]
[1, [15.971338    5.74178267  6.63483764], 73277.13, [12.4396387   6.11423369  7.57388664]]
[2, [15.96631979  4.41482019  6.74768464], 73277.13, [12.4396387   6.11423369  7.57388664]]
[2, [15.97755025  6.08944414  6.74457544], 73277.13, [12.4396387   6.11423369  7.57388664]]
[1, [15.96249435  4.65670842  6.89797043], 73277.13, [12.4396387   6.11423369  7.57388664]]
[1, [15.97223013  5.85012906  6.89891938], 73277.13, [12.4396387   6.11423369  7.57388664]]
X[1, [15.96024528  4.76524173  6.63505477], 73277.17, [12.43807107  6.11595619  7.58275884]]
[1, [15.97069096  5.73965572  6.63293533], 73277.17, [12.43807107  6.11595619  7.58275884]]
[2, [15.96462822  4.41159191  6.7438559 ], 73277.17, [12.43807107  6.11595619  7.58275884]]
[2, [15.97725579  6.08821654  6.74323006], 73277.17, [12.43807107  6.11595619  7.58275884]]
[1, [15.9602113   4.65595464  6.89931926], 73277.17, [12.43807107  6.11595619  7.58275884]]
[1, [15.97179009  5.84823837  6.89740561], 73277.17, [12.43807107  6.11595619  7.58275884]]
X[1, [15.96082767  4.7639187   6.63438841], 73277.21, [12.43671782  6.11762269  7.58997578]]
[1, [15.9702928   5.73198439  6.63486697], 73277.21, [12.43671782  6.11762269  7.58997578]]
[2, [15.96384819  4.41146585  6.74326838], 73277.21, [12.43671782  6.11762269  7.58997578]]
[2, [15.97650253  6.0855406   6.74582508], 73277.21, [12.43671782  6.11762269  7.58997578]]
[1, [15.95848268  4.65453602  6.90008387], 73277.21, [12.43671782  6.11762269  7.58997578]]
[1, [15.97158554  5.84919377  6.89952496], 73277.21, [12.43671782  6.11762269  7.58997578]]
X[1, [15.95992195  4.76136234  6.63105331], 73277.25, [12.43555137  6.11923355  7.59554259]]
[1, [15.96995607  5.73440103  6.63313365], 73277.25, [12.43555137  6.11923355  7.59554259]]
[2, [15.96212863  4.41035149  6.74799536], 73277.25, [12.43555137  6.11923355  7.59554259]]
[2, [15.97634036  6.0802932   6.74501602], 73277.25, [12.43555137  6.11923355  7.59554259]]
[1, [15.95754688  4.65103845  6.89750154], 73277.25, [12.43555137  6.11923355  7.59554259]]
[1, [15.97126871  5.84347811  6.89854194], 73277.25, [12.43555137  6.11923355  7.59554259]]
X[1, [15.96897678 12.01730166  3.75330888], 73281.55, [12.45027273 12.48469037  5.04436288]]
[1, [15.96938581 13.33396606  4.02443946], 73281.55, [12.45027273 12.48469037  5.04436288]]
[1, [15.968031   14.82498432  4.0132762 ], 73281.55, [12.45027273 12.48469037  5.04436288]]
[0, [15.97073622 14.80169923  6.94687208], 73281.55, [12.45027273 12.48469037  5.04436288]]
X[1, [15.96807316 12.03093486  3.75450708], 73281.59, [12.4503221  12.54734743  5.03537768]]
[1, [15.96803607 13.3489261   4.02380025], 73281.59, [12.4503221  12.54734743  5.03537768]]
[1, [15.9682566  14.83603581  4.01613601], 73281.59, [12.4503221  12.54734743  5.03537768]]
[0, [15.96934682 14.80852247  6.95274076], 73281.59, [12.4503221  12.54734743  5.03537768]]
X[1, [15.96898408 12.01427093  3.75273584], 73281.61, [12.45034602 12.57781231  5.03114201]]
